left-profile	left-symbol	right-profile	right-symbol	kind	left-member	right-member
patch302	fire/encounter2alt	gs5r3	fire/quest/encounter2alt	encounter	gs\dungeons\fire\encounter2alt.gs	gs\dungeons\fire\quest\encounter2alt.gs
patch302	fire/encounter3	gs5r3	fire/quest/encounter3	encounter	gs\dungeons\fire\encounter3.gs	gs\dungeons\fire\quest\encounter3.gs
patch302	fire/encounter4	gs5r3	fire/quest/encounter4	encounter	gs\dungeons\fire\encounter4.gs	gs\dungeons\fire\quest\encounter4.gs
patch302	fire/encounter4a	gs5r3	fire/quest/encounter4a	encounter	gs\dungeons\fire\encounter4a.gs	gs\dungeons\fire\quest\encounter4a.gs
patch302	fire/encounter4b	gs5r3	fire/quest/encounter4b	encounter	gs\dungeons\fire\encounter4b.gs	gs\dungeons\fire\quest\encounter4b.gs
patch302	fire/encounter4c	gs5r3	fire/quest/encounter4c	encounter	gs\dungeons\fire\encounter4c.gs	gs\dungeons\fire\quest\encounter4c.gs
patch302	fire/encounter5	gs5r3	fire/quest/encounter5	encounter	gs\dungeons\fire\encounter5.gs	gs\dungeons\fire\quest\encounter5.gs
patch302	fire/encounter6	gs5r3	fire/quest/encounter6	encounter	gs\dungeons\fire\encounter6.gs	gs\dungeons\fire\quest\encounter6.gs
patch302	fire/encounter7	gs5r3	fire/quest/encounter7	encounter	gs\dungeons\fire\encounter7.gs	gs\dungeons\fire\quest\encounter7.gs
patch302	fire/encounter8	gs5r3	fire/quest/encounter8	encounter	gs\dungeons\fire\encounter8.gs	gs\dungeons\fire\quest\encounter8.gs
patch302	fire/firecaves2	gs5r3	fire/quest/firecaves2	encounter	gs\dungeons\fire\firecaves2.gs	gs\dungeons\fire\quest\firecaves2.gs
patch302	orccave	gs5r3	earth/orccave	encounter	gs\dungeons\orccave.gs	gs\dungeons\earth\orccave.gs
patch302	order/encounter1	gs5r3	order/quest/encounter1	encounter	gs\dungeons\order\encounter1.gs	gs\dungeons\order\quest\encounter1.gs
patch302	order/encounter10	gs5r3	order/quest/encounter10	encounter	gs\dungeons\order\encounter10.gs	gs\dungeons\order\quest\encounter10.gs
patch302	order/encounter102	gs5r3	order/quest/encounter102	encounter	gs\dungeons\order\encounter102.gs	gs\dungeons\order\quest\encounter102.gs
patch302	order/encounter103	gs5r3	order/quest/encounter103	encounter	gs\dungeons\order\encounter103.gs	gs\dungeons\order\quest\encounter103.gs
patch302	order/encounter104	gs5r3	order/quest/encounter104	encounter	gs\dungeons\order\encounter104.gs	gs\dungeons\order\quest\encounter104.gs
patch302	order/encounter106	gs5r3	order/quest/encounter106	encounter	gs\dungeons\order\encounter106.gs	gs\dungeons\order\quest\encounter106.gs
patch302	order/encounter107	gs5r3	order/quest/encounter107	encounter	gs\dungeons\order\encounter107.gs	gs\dungeons\order\quest\encounter107.gs
patch302	order/encounter108	gs5r3	order/quest/encounter108	encounter	gs\dungeons\order\encounter108.gs	gs\dungeons\order\quest\encounter108.gs
patch302	order/encounter109	gs5r3	order/quest/encounter109	encounter	gs\dungeons\order\encounter109.gs	gs\dungeons\order\quest\encounter109.gs
patch302	order/encounter11	gs5r3	order/quest/encounter11	encounter	gs\dungeons\order\encounter11.gs	gs\dungeons\order\quest\encounter11.gs
patch302	order/encounter112	gs5r3	order/quest/encounter112	encounter	gs\dungeons\order\encounter112.gs	gs\dungeons\order\quest\encounter112.gs
patch302	order/encounter113	gs5r3	order/quest/encounter113	encounter	gs\dungeons\order\encounter113.gs	gs\dungeons\order\quest\encounter113.gs
patch302	order/encounter116	gs5r3	order/quest/encounter116	encounter	gs\dungeons\order\encounter116.gs	gs\dungeons\order\quest\encounter116.gs
patch302	order/encounter118	gs5r3	order/quest/encounter118	encounter	gs\dungeons\order\encounter118.gs	gs\dungeons\order\quest\encounter118.gs
patch302	order/encounter12	gs5r3	order/quest/encounter12	encounter	gs\dungeons\order\encounter12.gs	gs\dungeons\order\quest\encounter12.gs
patch302	order/encounter13	gs5r3	order/quest/encounter13	encounter	gs\dungeons\order\encounter13.gs	gs\dungeons\order\quest\encounter13.gs
patch302	order/encounter14	gs5r3	order/quest/encounter14	encounter	gs\dungeons\order\encounter14.gs	gs\dungeons\order\quest\encounter14.gs
patch302	order/encounter17	gs5r3	order/quest/encounter17	encounter	gs\dungeons\order\encounter17.gs	gs\dungeons\order\quest\encounter17.gs
patch302	order/encounter19	gs5r3	order/quest/encounter19	encounter	gs\dungeons\order\encounter19.gs	gs\dungeons\order\quest\encounter19.gs
patch302	order/encounter2	gs5r3	order/quest/encounter2	encounter	gs\dungeons\order\encounter2.gs	gs\dungeons\order\quest\encounter2.gs
patch302	order/encounter22	gs5r3	order/quest/encounter22	encounter	gs\dungeons\order\encounter22.gs	gs\dungeons\order\quest\encounter22.gs
patch302	order/encounter23	gs5r3	order/quest/encounter23	encounter	gs\dungeons\order\encounter23.gs	gs\dungeons\order\quest\encounter23.gs
patch302	order/encounter24	gs5r3	order/quest/encounter24	encounter	gs\dungeons\order\encounter24.gs	gs\dungeons\order\quest\encounter24.gs
patch302	order/encounter25	gs5r3	order/quest/encounter25	encounter	gs\dungeons\order\encounter25.gs	gs\dungeons\order\quest\encounter25.gs
patch302	order/encounter28	gs5r3	order/quest/encounter28	encounter	gs\dungeons\order\encounter28.gs	gs\dungeons\order\quest\encounter28.gs
patch302	order/encounter29	gs5r3	order/quest/encounter29	encounter	gs\dungeons\order\encounter29.gs	gs\dungeons\order\quest\encounter29.gs
patch302	order/encounter3	gs5r3	order/quest/encounter3	encounter	gs\dungeons\order\encounter3.gs	gs\dungeons\order\quest\encounter3.gs
patch302	order/encounter30	gs5r3	order/quest/encounter30	encounter	gs\dungeons\order\encounter30.gs	gs\dungeons\order\quest\encounter30.gs
patch302	order/encounter31	gs5r3	order/quest/encounter31	encounter	gs\dungeons\order\encounter31.gs	gs\dungeons\order\quest\encounter31.gs
patch302	order/encounter32	gs5r3	order/quest/encounter32	encounter	gs\dungeons\order\encounter32.gs	gs\dungeons\order\quest\encounter32.gs
patch302	order/encounter33	gs5r3	order/quest/encounter33	encounter	gs\dungeons\order\encounter33.gs	gs\dungeons\order\quest\encounter33.gs
patch302	order/encounter35	gs5r3	order/quest/encounter35	encounter	gs\dungeons\order\encounter35.gs	gs\dungeons\order\quest\encounter35.gs
patch302	order/encounter36	gs5r3	order/quest/encounter36	encounter	gs\dungeons\order\encounter36.gs	gs\dungeons\order\quest\encounter36.gs
patch302	order/encounter37	gs5r3	order/quest/encounter37	encounter	gs\dungeons\order\encounter37.gs	gs\dungeons\order\quest\encounter37.gs
patch302	order/encounter38	gs5r3	order/quest/encounter38	encounter	gs\dungeons\order\encounter38.gs	gs\dungeons\order\quest\encounter38.gs
patch302	order/encounter39	gs5r3	order/quest/encounter39	encounter	gs\dungeons\order\encounter39.gs	gs\dungeons\order\quest\encounter39.gs
patch302	order/encounter4	gs5r3	order/quest/encounter4	encounter	gs\dungeons\order\encounter4.gs	gs\dungeons\order\quest\encounter4.gs
patch302	order/encounter40	gs5r3	order/quest/encounter40	encounter	gs\dungeons\order\encounter40.gs	gs\dungeons\order\quest\encounter40.gs
patch302	order/encounter41	gs5r3	order/quest/encounter41	encounter	gs\dungeons\order\encounter41.gs	gs\dungeons\order\quest\encounter41.gs
patch302	order/encounter42	gs5r3	order/quest/encounter42	encounter	gs\dungeons\order\encounter42.gs	gs\dungeons\order\quest\encounter42.gs
patch302	order/encounter43	gs5r3	order/quest/encounter43	encounter	gs\dungeons\order\encounter43.gs	gs\dungeons\order\quest\encounter43.gs
patch302	order/encounter44	gs5r3	order/quest/encounter44	encounter	gs\dungeons\order\encounter44.gs	gs\dungeons\order\quest\encounter44.gs
patch302	order/encounter45	gs5r3	order/quest/encounter45	encounter	gs\dungeons\order\encounter45.gs	gs\dungeons\order\quest\encounter45.gs
patch302	order/encounter47	gs5r3	order/quest/encounter47	encounter	gs\dungeons\order\encounter47.gs	gs\dungeons\order\quest\encounter47.gs
patch302	order/encounter48	gs5r3	order/quest/encounter48	encounter	gs\dungeons\order\encounter48.gs	gs\dungeons\order\quest\encounter48.gs
patch302	order/encounter5	gs5r3	order/quest/encounter5	encounter	gs\dungeons\order\encounter5.gs	gs\dungeons\order\quest\encounter5.gs
patch302	order/encounter51	gs5r3	order/quest/encounter51	encounter	gs\dungeons\order\encounter51.gs	gs\dungeons\order\quest\encounter51.gs
patch302	order/encounter52	gs5r3	order/quest/encounter52	encounter	gs\dungeons\order\encounter52.gs	gs\dungeons\order\quest\encounter52.gs
patch302	order/encounter53	gs5r3	order/quest/encounter53	encounter	gs\dungeons\order\encounter53.gs	gs\dungeons\order\quest\encounter53.gs
patch302	order/encounter54	gs5r3	order/quest/encounter54	encounter	gs\dungeons\order\encounter54.gs	gs\dungeons\order\quest\encounter54.gs
patch302	order/encounter57	gs5r3	order/quest/encounter57	encounter	gs\dungeons\order\encounter57.gs	gs\dungeons\order\quest\encounter57.gs
patch302	order/encounter58	gs5r3	order/quest/encounter58	encounter	gs\dungeons\order\encounter58.gs	gs\dungeons\order\quest\encounter58.gs
patch302	order/encounter59	gs5r3	order/quest/encounter59	encounter	gs\dungeons\order\encounter59.gs	gs\dungeons\order\quest\encounter59.gs
patch302	order/encounter6	gs5r3	order/quest/encounter6	encounter	gs\dungeons\order\encounter6.gs	gs\dungeons\order\quest\encounter6.gs
patch302	order/encounter60	gs5r3	order/quest/encounter60	encounter	gs\dungeons\order\encounter60.gs	gs\dungeons\order\quest\encounter60.gs
patch302	order/encounter61	gs5r3	order/quest/encounter61	encounter	gs\dungeons\order\encounter61.gs	gs\dungeons\order\quest\encounter61.gs
patch302	order/encounter62	gs5r3	order/quest/encounter62	encounter	gs\dungeons\order\encounter62.gs	gs\dungeons\order\quest\encounter62.gs
patch302	order/encounter63	gs5r3	order/quest/encounter63	encounter	gs\dungeons\order\encounter63.gs	gs\dungeons\order\quest\encounter63.gs
patch302	order/encounter64	gs5r3	order/quest/encounter64	encounter	gs\dungeons\order\encounter64.gs	gs\dungeons\order\quest\encounter64.gs
patch302	order/encounter65	gs5r3	order/quest/encounter65	encounter	gs\dungeons\order\encounter65.gs	gs\dungeons\order\quest\encounter65.gs
patch302	order/encounter66	gs5r3	order/quest/encounter66	encounter	gs\dungeons\order\encounter66.gs	gs\dungeons\order\quest\encounter66.gs
patch302	order/encounter67	gs5r3	order/quest/encounter67	encounter	gs\dungeons\order\encounter67.gs	gs\dungeons\order\quest\encounter67.gs
patch302	order/encounter68	gs5r3	order/quest/encounter68	encounter	gs\dungeons\order\encounter68.gs	gs\dungeons\order\quest\encounter68.gs
patch302	order/encounter69	gs5r3	order/quest/encounter69	encounter	gs\dungeons\order\encounter69.gs	gs\dungeons\order\quest\encounter69.gs
patch302	order/encounter7	gs5r3	order/quest/encounter7	encounter	gs\dungeons\order\encounter7.gs	gs\dungeons\order\quest\encounter7.gs
patch302	order/encounter70	gs5r3	order/quest/encounter70	encounter	gs\dungeons\order\encounter70.gs	gs\dungeons\order\quest\encounter70.gs
patch302	order/encounter71	gs5r3	order/quest/encounter71	encounter	gs\dungeons\order\encounter71.gs	gs\dungeons\order\quest\encounter71.gs
patch302	order/encounter72	gs5r3	order/quest/encounter72	encounter	gs\dungeons\order\encounter72.gs	gs\dungeons\order\quest\encounter72.gs
patch302	order/encounter73	gs5r3	order/quest/encounter73	encounter	gs\dungeons\order\encounter73.gs	gs\dungeons\order\quest\encounter73.gs
patch302	order/encounter74	gs5r3	order/quest/encounter74	encounter	gs\dungeons\order\encounter74.gs	gs\dungeons\order\quest\encounter74.gs
patch302	order/encounter75	gs5r3	order/quest/encounter75	encounter	gs\dungeons\order\encounter75.gs	gs\dungeons\order\quest\encounter75.gs
patch302	order/encounter76	gs5r3	order/quest/encounter76	encounter	gs\dungeons\order\encounter76.gs	gs\dungeons\order\quest\encounter76.gs
patch302	order/encounter77	gs5r3	order/quest/encounter77	encounter	gs\dungeons\order\encounter77.gs	gs\dungeons\order\quest\encounter77.gs
patch302	order/encounter78	gs5r3	order/quest/encounter78	encounter	gs\dungeons\order\encounter78.gs	gs\dungeons\order\quest\encounter78.gs
patch302	order/encounter8	gs5r3	order/quest/encounter8	encounter	gs\dungeons\order\encounter8.gs	gs\dungeons\order\quest\encounter8.gs
patch302	order/encounter80	gs5r3	order/quest/encounter80	encounter	gs\dungeons\order\encounter80.gs	gs\dungeons\order\quest\encounter80.gs
patch302	order/encounter81	gs5r3	order/quest/encounter81	encounter	gs\dungeons\order\encounter81.gs	gs\dungeons\order\quest\encounter81.gs
patch302	order/encounter82	gs5r3	order/quest/encounter82	encounter	gs\dungeons\order\encounter82.gs	gs\dungeons\order\quest\encounter82.gs
patch302	order/encounter84a	gs5r3	order/quest/encounter84a	encounter	gs\dungeons\order\encounter84a.gs	gs\dungeons\order\quest\encounter84a.gs
patch302	order/encounter84b	gs5r3	order/quest/encounter84b	encounter	gs\dungeons\order\encounter84b.gs	gs\dungeons\order\quest\encounter84b.gs
patch302	order/encounter85	gs5r3	order/quest/encounter85	encounter	gs\dungeons\order\encounter85.gs	gs\dungeons\order\quest\encounter85.gs
patch302	order/encounter86	gs5r3	order/quest/encounter86	encounter	gs\dungeons\order\encounter86.gs	gs\dungeons\order\quest\encounter86.gs
patch302	order/encounter87	gs5r3	order/quest/encounter87	encounter	gs\dungeons\order\encounter87.gs	gs\dungeons\order\quest\encounter87.gs
patch302	order/encounter88	gs5r3	order/quest/encounter88	encounter	gs\dungeons\order\encounter88.gs	gs\dungeons\order\quest\encounter88.gs
patch302	order/encounter89	gs5r3	order/quest/encounter89	encounter	gs\dungeons\order\encounter89.gs	gs\dungeons\order\quest\encounter89.gs
patch302	order/encounter91a	gs5r3	order/quest/encounter91a	encounter	gs\dungeons\order\encounter91a.gs	gs\dungeons\order\quest\encounter91a.gs
patch302	order/encounter92	gs5r3	order/quest/encounter92	encounter	gs\dungeons\order\encounter92.gs	gs\dungeons\order\quest\encounter92.gs
patch302	order/encounter93	gs5r3	order/quest/encounter93	encounter	gs\dungeons\order\encounter93.gs	gs\dungeons\order\quest\encounter93.gs
patch302	order/encounter94	gs5r3	order/quest/encounter94	encounter	gs\dungeons\order\encounter94.gs	gs\dungeons\order\quest\encounter94.gs
patch302	order/encounter97	gs5r3	order/quest/encounter97	encounter	gs\dungeons\order\encounter97.gs	gs\dungeons\order\quest\encounter97.gs
patch302	order/encounter98	gs5r3	order/quest/encounter98	encounter	gs\dungeons\order\encounter98.gs	gs\dungeons\order\quest\encounter98.gs
patch302	order/guenver	gs5r3	order/quest/guenver	encounter	gs\dungeons\order\guenver.gs	gs\dungeons\order\quest\guenver.gs
